Date : 2021-09-16 21:37:17
Directory : c:\Users\19332\Desktop\呼吸之友
Total : 141 files,  5361 codes, 613 comments, 556 blanks, all 6530 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |         41 |      2,420 |        568 |        305 |      3,293 |
| CSS        |         26 |      1,583 |         18 |        208 |      1,809 |
| wxml       |         25 |        571 |         21 |         25 |        617 |
| JSON       |         42 |        487 |          0 |          2 |        489 |
| Less       |          5 |        292 |          6 |         10 |        308 |
| Markdown   |          1 |          7 |          0 |          6 |         13 |
| Batch      |          1 |          1 |          0 |          0 |          1 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                       | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                          |        141 |      5,361 |        613 |        556 |      6,530 |
| cloudfunctions                                                                             |         26 |        388 |         65 |         30 |        483 |
| cloudfunctions\findLog                                                                     |          3 |         29 |         10 |          2 |         41 |
| cloudfunctions\getOpenId                                                                   |          3 |         30 |          4 |          3 |         37 |
| cloudfunctions\newUser                                                                     |          3 |         64 |         12 |          3 |         79 |
| cloudfunctions\quickstartFunctions                                                         |          8 |        154 |         17 |         15 |        186 |
| cloudfunctions\quickstartFunctions\createCollection                                        |          1 |         46 |          7 |          3 |         56 |
| cloudfunctions\quickstartFunctions\getMiniProgramCode                                      |          1 |         15 |          3 |          2 |         20 |
| cloudfunctions\quickstartFunctions\selectRecord                                            |          1 |          8 |          2 |          2 |         12 |
| cloudfunctions\quickstartFunctions\sumRecord                                               |          1 |         14 |          2 |          2 |         18 |
| cloudfunctions\quickstartFunctions\updateRecord                                            |          1 |         28 |          2 |          2 |         32 |
| cloudfunctions\submitPassage                                                               |          3 |         31 |          2 |          3 |         36 |
| cloudfunctions\update                                                                      |          3 |         39 |         10 |          2 |         51 |
| cloudfunctions\updateLog                                                                   |          3 |         41 |         10 |          2 |         53 |
| miniprogram                                                                                |        111 |      4,803 |        548 |        520 |      5,871 |
| miniprogram\components                                                                     |         17 |        730 |         88 |         55 |        873 |
| miniprogram\components\RecordAction                                                        |          4 |         98 |          0 |         11 |        109 |
| miniprogram\components\SearchInput                                                         |          5 |         45 |         10 |          9 |         64 |
| miniprogram\components\cloudTipModal                                                       |          4 |         96 |          5 |         12 |        113 |
| miniprogram\components\dk-calendar                                                         |          4 |        491 |         73 |         23 |        587 |
| miniprogram\lib                                                                            |          1 |        471 |        129 |        110 |        710 |
| miniprogram\lib\runtime                                                                    |          1 |        471 |        129 |        110 |        710 |
| miniprogram\pages                                                                          |         86 |      3,434 |        310 |        338 |      4,082 |
| miniprogram\pages\createCollection                                                         |          4 |         55 |         27 |         23 |        105 |
| miniprogram\pages\deployService                                                            |          4 |         57 |         30 |         23 |        110 |
| miniprogram\pages\getMiniProgramCode                                                       |          4 |        114 |          3 |         14 |        131 |
| miniprogram\pages\getOpenId                                                                |          4 |        100 |         11 |         12 |        123 |
| miniprogram\pages\home                                                                     |          4 |         27 |         29 |         18 |         74 |
| miniprogram\pages\index                                                                    |          4 |        237 |          9 |         29 |        275 |
| miniprogram\pages\login                                                                    |          4 |         25 |          8 |          0 |         33 |
| miniprogram\pages\my                                                                       |         10 |        536 |         27 |         16 |        579 |
| miniprogram\pages\my\modifyInfo                                                            |          5 |        176 |         11 |          5 |        192 |
| miniprogram\pages\paper                                                                    |         12 |        371 |         85 |         24 |        480 |
| miniprogram\pages\paper\paperDetail                                                        |          2 |         21 |         29 |         19 |         69 |
