"filename", "language", "JavaScript", "CSS", "JSON", "Markdown", "wxml", "Less", "comment", "blank", "total"
"c:\Users\19332\Desktop\呼吸之友\README.md", "Markdown", 0, 0, 0, 7, 0, 0, 0, 6, 13
"c:\Users\19332\Desktop\呼吸之友\cloudfunctions\findLog\config.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 0, 6
"c:\Users\19332\Desktop\呼吸之友\cloudfunctions\findLog\index.js", "JavaScript", 9, 0, 0, 0, 0, 0, 10, 2, 21
"c:\Users\19332\Desktop\呼吸之友\cloudfunctions\findLog\package.json", "JSON", 0, 0, 14, 0, 0, 0, 0, 0, 14
"c:\Users\19332\Desktop\呼吸之友\cloudfunctions\getOpenId\config.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 0, 6
"c:\Users\19332\Desktop\呼吸之友\cloudfunctions\getOpenId\index.js", "JavaScript", 10, 0, 0, 0, 0, 0, 4, 3, 17
"c:\Users\19332\Desktop\呼吸之友\cloudfunctions\getOpenId\package.json", "JSON", 0, 0, 14, 0, 0, 0, 0, 0, 14
"c:\Users\19332\Desktop\呼吸之友\cloudfunctions\newUser\config.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 0, 6
"c:\Users\19332\Desktop\呼吸之友\cloudfunctions\newUser\index.js", "JavaScript", 44, 0, 0, 0, 0, 0, 12, 3, 59
"c:\Users\19332\Desktop\呼吸之友\cloudfunctions\newUser\package.json", "JSON", 0, 0, 14, 0, 0, 0, 0, 0, 14
"c:\Users\19332\Desktop\呼吸之友\cloudfunctions\quickstartFunctions\config.json", "JSON", 0, 0, 7, 0, 0, 0, 0, 0, 7
"c:\Users\19332\Desktop\呼吸之友\cloudfunctions\quickstartFunctions\createCollection\index.js", "JavaScript", 46, 0, 0, 0, 0, 0, 7, 3, 56
"c:\Users\19332\Desktop\呼吸之友\cloudfunctions\quickstartFunctions\getMiniProgramCode\index.js", "JavaScript", 15, 0, 0, 0, 0, 0, 3, 2, 20
"c:\Users\19332\Desktop\呼吸之友\cloudfunctions\quickstartFunctions\index.js", "JavaScript", 22, 0, 0, 0, 0, 0, 1, 3, 26
"c:\Users\19332\Desktop\呼吸之友\cloudfunctions\quickstartFunctions\package.json", "JSON", 0, 0, 14, 0, 0, 0, 0, 1, 15
"c:\Users\19332\Desktop\呼吸之友\cloudfunctions\quickstartFunctions\selectRecord\index.js", "JavaScript", 8, 0, 0, 0, 0, 0, 2, 2, 12
"c:\Users\19332\Desktop\呼吸之友\cloudfunctions\quickstartFunctions\sumRecord\index.js", "JavaScript", 14, 0, 0, 0, 0, 0, 2, 2, 18
"c:\Users\19332\Desktop\呼吸之友\cloudfunctions\quickstartFunctions\updateRecord\index.js", "JavaScript", 28, 0, 0, 0, 0, 0, 2, 2, 32
"c:\Users\19332\Desktop\呼吸之友\cloudfunctions\submitPassage\config.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 0, 6
"c:\Users\19332\Desktop\呼吸之友\cloudfunctions\submitPassage\index.js", "JavaScript", 11, 0, 0, 0, 0, 0, 2, 3, 16
"c:\Users\19332\Desktop\呼吸之友\cloudfunctions\submitPassage\package.json", "JSON", 0, 0, 14, 0, 0, 0, 0, 0, 14
"c:\Users\19332\Desktop\呼吸之友\cloudfunctions\updateLog\config.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 0, 6
